day,local_time,assessment_number,mean_daily_temp, Wind (km/h),ws,wd, cummulative_rain_since_9am ,rain_mm,location
1,4/6/20 20:15,NA,9.1,2.9,0.81,134,0,0,Billa_Billa
1,4/6/20 20:30,NA,8.9,2.4,0.67,121,0,0,Billa_Billa
1,4/6/20 20:45,NA,11.3,3.5,0.97,207,0,0,Billa_Billa
1,4/6/20 21:00,NA,12.9,2.6,0.72,202,0,0,Billa_Billa
1,4/6/20 21:15,NA,12,0.9,0.25,201,0,0,Billa_Billa
1,4/6/20 21:30,NA,8.6,4.9,1.36,121,0,0,Billa_Billa
1,4/6/20 21:45,NA,9.5,3.9,1.08,86,0,0,Billa_Billa
1,4/6/20 22:00,NA,10.4,3.9,1.08,113,0,0,Billa_Billa
1,4/6/20 22:15,NA,9.9,1.4,0.39,120,0,0,Billa_Billa
1,4/6/20 22:30,NA,9.8,0,0.00,180,0,0,Billa_Billa
1,4/6/20 22:45,NA,9.5,0.2,0.06,120,0,0,Billa_Billa
1,4/6/20 23:00,NA,9.5,0.8,0.22,119,0,0,Billa_Billa
1,4/6/20 23:15,NA,9.6,0,0.00,119,0,0,Billa_Billa
1,4/6/20 23:30,NA,9.3,0.8,0.22,119,0,0,Billa_Billa
1,4/6/20 23:45,NA,9,0.6,0.17,120,0,0,Billa_Billa
2,5/6/20 0:00,NA,8.9,3.5,0.97,119,0,0,Billa_Billa
2,5/6/20 0:15,NA,8.5,1.7,0.47,119,0,0,Billa_Billa
2,5/6/20 0:30,NA,8.2,0.2,0.06,119,0,0,Billa_Billa
2,5/6/20 0:45,NA,8.2,0,0.00,180,0,0,Billa_Billa
2,5/6/20 1:00,NA,7.6,0.8,0.22,119,0,0,Billa_Billa
2,5/6/20 1:15,NA,7.3,0.4,0.11,120,0,0,Billa_Billa
2,5/6/20 1:30,NA,7.6,0,0.00,119,0,0,Billa_Billa
2,5/6/20 1:45,NA,7.3,0,0.00,180,0,0,Billa_Billa
2,5/6/20 2:00,NA,7.5,0.5,0.14,119,0,0,Billa_Billa
2,5/6/20 2:15,NA,8.3,0.8,0.22,119,0,0,Billa_Billa
2,5/6/20 2:30,NA,7.9,1,0.28,119,0,0,Billa_Billa
2,5/6/20 2:45,NA,8.4,2.8,0.78,120,0,0,Billa_Billa
2,5/6/20 3:00,NA,8,5.5,1.53,160,0,0,Billa_Billa
2,5/6/20 3:15,NA,6.9,6.5,1.81,190,0,0,Billa_Billa
2,5/6/20 3:30,NA,7.1,3.1,0.86,191,0,0,Billa_Billa
2,5/6/20 3:45,NA,6.6,0.3,0.08,192,0,0,Billa_Billa
2,5/6/20 4:00,NA,5.8,1.8,0.50,192,0,0,Billa_Billa
2,5/6/20 4:15,NA,5.3,1.1,0.31,192,0,0,Billa_Billa
2,5/6/20 4:30,NA,5.1,0.9,0.25,192,0,0,Billa_Billa
2,5/6/20 4:45,NA,5,0.8,0.22,192,0,0,Billa_Billa
2,5/6/20 5:00,NA,4.8,0.9,0.25,192,0,0,Billa_Billa
2,5/6/20 5:15,NA,4.4,1,0.28,192,0,0,Billa_Billa
2,5/6/20 5:30,NA,4.1,0.4,0.11,192,0,0,Billa_Billa
2,5/6/20 5:45,NA,3.9,0.6,0.17,192,0,0,Billa_Billa
2,5/6/20 6:00,NA,4.1,0,0.00,192,0,0,Billa_Billa
2,5/6/20 6:15,NA,4.4,0.4,0.11,192,0,0,Billa_Billa
2,5/6/20 6:30,NA,4.3,1.8,0.50,192,0,0,Billa_Billa
2,5/6/20 6:45,NA,3.5,2,0.56,192,0,0,Billa_Billa
2,5/6/20 7:00,NA,4.7,2.9,0.81,191,0,0,Billa_Billa
2,5/6/20 7:15,NA,5.4,0.6,0.17,192,0,0,Billa_Billa
2,5/6/20 7:30,NA,5.8,0,0.00,180,0,0,Billa_Billa
2,5/6/20 7:45,NA,6.6,0,0.00,192,0,0,Billa_Billa
2,5/6/20 8:00,NA,7.9,0,0.00,180,0,0,Billa_Billa
2,5/6/20 8:15,NA,10,3.1,0.86,184,0,0,Billa_Billa
2,5/6/20 8:30,NA,11.4,3.7,1.03,173,0,0,Billa_Billa
2,5/6/20 8:45,NA,12.1,4,1.11,163,0,0,Billa_Billa
2,5/6/20 9:00,NA,13,3.7,1.03,157,0,0,Billa_Billa
2,5/6/20 9:15,NA,13.7,5.5,1.53,136,0,0,Billa_Billa
2,5/6/20 9:30,NA,14.4,5.9,1.64,123,0,0,Billa_Billa
2,5/6/20 9:45,NA,15.1,5.1,1.42,135,0,0,Billa_Billa
2,5/6/20 10:00,NA,15.9,5.8,1.61,108,0,0,Billa_Billa
2,5/6/20 10:15,NA,16.3,5.8,1.61,120,0,0,Billa_Billa
2,5/6/20 10:30,NA,17.1,5.1,1.42,112,0,0,Billa_Billa
2,5/6/20 10:45,NA,17.5,3.5,0.97,110,0,0,Billa_Billa
2,5/6/20 11:00,NA,18.3,3.1,0.86,122,0,0,Billa_Billa
2,5/6/20 11:15,NA,18.9,3.3,0.92,134,0,0,Billa_Billa
2,5/6/20 11:30,NA,19.3,3,0.83,175,0,0,Billa_Billa
2,5/6/20 11:45,NA,19.8,2.1,0.58,153,0,0,Billa_Billa
2,5/6/20 12:00,NA,19.9,4.1,1.14,159,0,0,Billa_Billa
2,5/6/20 12:15,NA,19.9,5.7,1.58,131,0,0,Billa_Billa
2,5/6/20 12:30,NA,20,5.9,1.64,159,0,0,Billa_Billa
2,5/6/20 12:45,NA,20.3,7.8,2.17,137,0,0,Billa_Billa
2,5/6/20 13:00,NA,20.6,3.1,0.86,122,0,0,Billa_Billa
2,5/6/20 13:15,NA,20.4,4.3,1.19,98,0,0,Billa_Billa
2,5/6/20 13:30,NA,20.4,4.1,1.14,43,0,0,Billa_Billa
2,5/6/20 13:45,NA,20.6,6.9,1.92,90,0,0,Billa_Billa
2,5/6/20 14:00,NA,20.5,4.8,1.33,108,0,0,Billa_Billa
2,5/6/20 14:15,NA,20.7,6,1.67,184,0,0,Billa_Billa
2,5/6/20 14:30,NA,20.6,6,1.67,184,0,0,Billa_Billa
2,5/6/20 14:45,NA,20.6,5.8,1.61,198,0,0,Billa_Billa
2,5/6/20 15:00,NA,20.9,5.7,1.58,144,0,0,Billa_Billa
2,5/6/20 15:15,NA,20.9,4.1,1.14,133,0,0,Billa_Billa
2,5/6/20 15:30,NA,21.1,3.7,1.03,25,0,0,Billa_Billa
2,5/6/20 15:45,NA,21,3.5,0.97,134,0,0,Billa_Billa
2,5/6/20 16:00,NA,20.8,6.5,1.81,196,0,0,Billa_Billa
2,5/6/20 16:15,NA,20.5,5.4,1.50,193,0,0,Billa_Billa
2,5/6/20 16:30,NA,20.2,7.1,1.97,201,0,0,Billa_Billa
2,5/6/20 16:45,NA,19.7,5.6,1.56,194,0,0,Billa_Billa
2,5/6/20 17:00,NA,19.2,3,0.83,177,0,0,Billa_Billa
2,5/6/20 17:15,NA,18.1,2.1,0.58,177,0,0,Billa_Billa
2,5/6/20 17:30,NA,17.1,1.8,0.50,178,0,0,Billa_Billa
2,5/6/20 17:45,NA,16.3,1.4,0.39,178,0,0,Billa_Billa
2,5/6/20 18:00,NA,16,0.7,0.19,178,0,0,Billa_Billa
2,5/6/20 18:15,NA,14.7,2.3,0.64,248,0,0,Billa_Billa
2,5/6/20 18:30,NA,14.2,1,0.28,263,0,0,Billa_Billa
2,5/6/20 18:45,NA,13.7,0.2,0.06,264,0,0,Billa_Billa
2,5/6/20 19:00,NA,12,2,0.56,264,0,0,Billa_Billa
2,5/6/20 19:15,NA,11.6,2.2,0.61,264,0,0,Billa_Billa
2,5/6/20 19:30,NA,11.2,4.1,1.14,273,0,0,Billa_Billa
2,5/6/20 19:45,NA,11.1,4.5,1.25,277,0,0,Billa_Billa
2,5/6/20 20:00,NA,11.4,1.3,0.36,278,0,0,Billa_Billa
2,5/6/20 20:15,NA,10.5,2,0.56,277,0,0,Billa_Billa
2,5/6/20 20:30,NA,9.5,3.4,0.94,277,0,0,Billa_Billa
2,5/6/20 20:45,NA,9.3,4.9,1.36,282,0,0,Billa_Billa
2,5/6/20 21:00,NA,8.8,4.4,1.22,285,0,0,Billa_Billa
2,5/6/20 21:15,NA,9,0.7,0.19,284,0,0,Billa_Billa
2,5/6/20 21:30,NA,9,0.9,0.25,284,0,0,Billa_Billa
2,5/6/20 21:45,NA,8.6,1.2,0.33,285,0,0,Billa_Billa
2,5/6/20 22:00,NA,8.4,1.3,0.36,285,0,0,Billa_Billa
2,5/6/20 22:15,NA,8.1,2.5,0.69,285,0,0,Billa_Billa
2,5/6/20 22:30,NA,7.4,2.2,0.61,285,0,0,Billa_Billa
2,5/6/20 22:45,NA,7.1,1.4,0.39,285,0,0,Billa_Billa
2,5/6/20 23:00,NA,7,2.5,0.69,285,0,0,Billa_Billa
2,5/6/20 23:15,NA,6.9,3.4,0.94,285,0,0,Billa_Billa
2,5/6/20 23:30,NA,6.7,3.3,0.92,284,0,0,Billa_Billa
2,5/6/20 23:45,NA,6.9,0.6,0.17,284,0,0,Billa_Billa
3,6/6/20 0:00,NA,6.4,1.5,0.42,285,0,0,Billa_Billa
3,6/6/20 0:15,NA,5.9,2.3,0.64,285,0,0,Billa_Billa
3,6/6/20 0:30,NA,6.2,0.3,0.08,285,0,0,Billa_Billa
3,6/6/20 0:45,NA,6.2,0,0.00,180,0,0,Billa_Billa
3,6/6/20 1:00,NA,6.3,0.4,0.11,284,0,0,Billa_Billa
3,6/6/20 1:15,NA,6.3,1.7,0.47,285,0,0,Billa_Billa
3,6/6/20 1:30,NA,6.3,1.1,0.31,285,0,0,Billa_Billa
3,6/6/20 1:45,NA,6.1,0.9,0.25,285,0,0,Billa_Billa
3,6/6/20 2:00,NA,6.3,0,0.00,285,0,0,Billa_Billa
3,6/6/20 2:15,NA,6.9,1.6,0.44,284,0,0,Billa_Billa
3,6/6/20 2:30,NA,6.5,1.6,0.44,285,0,0,Billa_Billa
3,6/6/20 2:45,NA,6.2,0.1,0.03,285,0,0,Billa_Billa
3,6/6/20 3:00,NA,5.7,1.6,0.44,285,0,0,Billa_Billa
3,6/6/20 3:15,NA,5,0.3,0.08,285,0,0,Billa_Billa
3,6/6/20 3:30,NA,5,0,0.00,285,0,0,Billa_Billa
3,6/6/20 3:45,NA,4.8,0.5,0.14,284,0,0,Billa_Billa
3,6/6/20 4:00,NA,4.6,2.3,0.64,285,0,0,Billa_Billa
3,6/6/20 4:15,NA,4.7,1.8,0.50,285,0,0,Billa_Billa
3,6/6/20 4:30,NA,4.5,0.4,0.11,285,0,0,Billa_Billa
3,6/6/20 4:45,NA,4.3,0,0.00,180,0,0,Billa_Billa
3,6/6/20 5:00,NA,3.9,2.4,0.67,285,0,0,Billa_Billa
3,6/6/20 5:15,NA,3.7,2.2,0.61,285,0,0,Billa_Billa
3,6/6/20 5:30,NA,3.9,4,1.11,288,0,0,Billa_Billa
3,6/6/20 5:45,NA,4.1,0.5,0.14,295,0,0,Billa_Billa
3,6/6/20 6:00,NA,4.5,0,0.00,180,0,0,Billa_Billa
3,6/6/20 6:15,NA,3.9,0,0.00,295,0,0,Billa_Billa
3,6/6/20 6:30,NA,3.8,1.7,0.47,295,0,0,Billa_Billa
3,6/6/20 6:45,NA,3.8,0,0.00,180,0,0,Billa_Billa
3,6/6/20 7:00,NA,4.1,0,0.00,180,0,0,Billa_Billa
3,6/6/20 7:15,NA,4.6,0.6,0.17,295,0,0,Billa_Billa
3,6/6/20 7:30,NA,5.8,0.8,0.22,295,0,0,Billa_Billa
3,6/6/20 7:45,NA,7.2,1.4,0.39,295,0,0,Billa_Billa
3,6/6/20 8:00,NA,9,0.5,0.14,295,0,0,Billa_Billa
3,6/6/20 8:15,NA,10.6,0,0.00,180,0,0,Billa_Billa
3,6/6/20 8:30,NA,12,0,0.00,295,0,0,Billa_Billa
3,6/6/20 8:45,NA,13.7,0.6,0.17,295,0,0,Billa_Billa
3,6/6/20 9:00,NA,14.8,0.7,0.19,295,0,0,Billa_Billa
3,6/6/20 9:15,NA,15.4,2.1,0.58,294,0,0,Billa_Billa
3,6/6/20 9:30,NA,16.4,2.9,0.81,297,0,0,Billa_Billa
3,6/6/20 9:45,NA,17.5,2,0.56,298,0,0,Billa_Billa
3,6/6/20 10:00,NA,18.1,1.7,0.47,297,0,0,Billa_Billa
3,6/6/20 10:15,NA,18.8,2.2,0.61,283,0,0,Billa_Billa
3,6/6/20 10:30,NA,19.3,2.4,0.67,195,0,0,Billa_Billa
3,6/6/20 10:45,NA,19.8,3.4,0.94,180,0,0,Billa_Billa
3,6/6/20 11:00,NA,19.9,3.4,0.94,148,0,0,Billa_Billa
3,6/6/20 11:15,NA,20.3,3.4,0.94,130,0,0,Billa_Billa
3,6/6/20 11:30,NA,20.3,4.7,1.31,128,0,0,Billa_Billa
3,6/6/20 11:45,NA,20.3,5.3,1.47,34,0,0,Billa_Billa
3,6/6/20 12:00,NA,20.8,2.8,0.78,29,0,0,Billa_Billa
3,6/6/20 12:15,NA,20.4,5.8,1.61,189,0,0,Billa_Billa
3,6/6/20 12:30,NA,20.7,3.6,1.00,169,0,0,Billa_Billa
3,6/6/20 12:45,NA,20.5,4.9,1.36,24,0,0,Billa_Billa
3,6/6/20 13:00,NA,20.9,3.9,1.08,314,0,0,Billa_Billa
3,6/6/20 13:15,NA,20.9,5.4,1.50,164,0,0,Billa_Billa
3,6/6/20 13:30,NA,21.2,5.1,1.42,180,0,0,Billa_Billa
3,6/6/20 13:45,NA,20.8,5.6,1.56,209,0,0,Billa_Billa
3,6/6/20 14:00,NA,21,4.7,1.31,222,0,0,Billa_Billa
3,6/6/20 14:15,NA,21.1,3.3,0.92,112,0,0,Billa_Billa
3,6/6/20 14:30,NA,21.3,2.7,0.75,91,0,0,Billa_Billa
3,6/6/20 14:45,NA,21.3,4.2,1.17,177,0,0,Billa_Billa
3,6/6/20 15:00,NA,21.2,6,1.67,210,0,0,Billa_Billa
3,6/6/20 15:15,NA,21.3,5.9,1.64,232,0,0,Billa_Billa
3,6/6/20 15:30,NA,21.4,3.2,0.89,252,0,0,Billa_Billa
3,6/6/20 15:45,NA,21.5,1.7,0.47,250,0,0,Billa_Billa
3,6/6/20 16:00,NA,21.1,3.7,1.03,230,0,0,Billa_Billa
3,6/6/20 16:15,NA,21.2,1.5,0.42,189,0,0,Billa_Billa
3,6/6/20 16:30,NA,21,3,0.83,189,0,0,Billa_Billa
3,6/6/20 16:45,NA,21.1,0.2,0.06,189,0,0,Billa_Billa
3,6/6/20 17:00,NA,20,1,0.28,290,0,0,Billa_Billa
3,6/6/20 17:15,NA,18.8,1.1,0.31,300,0,0,Billa_Billa
3,6/6/20 17:30,NA,17.9,0.8,0.22,300,0,0,Billa_Billa
3,6/6/20 17:45,NA,17.6,1,0.28,300,0,0,Billa_Billa
3,6/6/20 18:00,NA,17,1.5,0.42,300,0,0,Billa_Billa
3,6/6/20 18:15,NA,15.2,3.2,0.89,308,0,0,Billa_Billa
3,6/6/20 18:30,NA,13.3,4.2,1.17,98,0,0,Billa_Billa
3,6/6/20 18:45,NA,12.9,3.3,0.92,98,0,0,Billa_Billa
3,6/6/20 19:00,NA,13.1,3.7,1.03,99,0,0,Billa_Billa
3,6/6/20 19:15,NA,12.3,4.5,1.25,100,0,0,Billa_Billa
3,6/6/20 19:30,NA,11.5,4.4,1.22,100,0,0,Billa_Billa
3,6/6/20 19:45,NA,11.4,2.4,0.67,100,0,0,Billa_Billa
3,6/6/20 20:00,NA,12,3.5,0.97,93,0,0,Billa_Billa
3,6/6/20 20:15,NA,11.3,3.1,0.86,76,0,0,Billa_Billa
3,6/6/20 20:30,NA,11.8,2.1,0.58,76,0,0,Billa_Billa
3,6/6/20 20:45,NA,12.3,3.3,0.92,76,0,0,Billa_Billa
3,6/6/20 21:00,NA,12,4.2,1.17,76,0,0,Billa_Billa
3,6/6/20 21:15,NA,11.3,2.2,0.61,76,0,0,Billa_Billa
3,6/6/20 21:30,NA,11,3.9,1.08,213,0,0,Billa_Billa
3,6/6/20 21:45,NA,11.7,3.5,0.97,223,0,0,Billa_Billa
3,6/6/20 22:00,NA,10.2,3.4,0.94,212,0,0,Billa_Billa
3,6/6/20 22:15,NA,10.1,0.3,0.08,180,0,0,Billa_Billa
3,6/6/20 22:30,NA,10,1.6,0.44,180,0,0,Billa_Billa
3,6/6/20 22:45,NA,9.4,3.1,0.86,180,0,0,Billa_Billa
3,6/6/20 23:00,NA,8.9,0.7,0.19,180,0,0,Billa_Billa
3,6/6/20 23:15,NA,9.3,1.8,0.50,180,0,0,Billa_Billa
3,6/6/20 23:30,NA,9.5,0.1,0.03,180,0,0,Billa_Billa
3,6/6/20 23:45,NA,10,0,0.00,180,0,0,Billa_Billa
4,7/6/20 0:00,NA,9.3,1,0.28,180,0,0,Billa_Billa
4,7/6/20 0:15,NA,9.2,0.1,0.03,180,0,0,Billa_Billa
4,7/6/20 0:30,NA,9.2,0.2,0.06,180,0,0,Billa_Billa
4,7/6/20 0:45,NA,9.5,0.4,0.11,180,0,0,Billa_Billa
4,7/6/20 1:00,NA,9.4,0,0.00,180,0,0,Billa_Billa
4,7/6/20 1:15,NA,9.7,0,0.00,180,0,0,Billa_Billa
4,7/6/20 1:30,NA,10.2,1.5,0.42,157,0,0,Billa_Billa
4,7/6/20 1:45,NA,12,8.1,2.25,90,0,0,Billa_Billa
4,7/6/20 2:00,NA,11.8,5.8,1.61,92,0,0,Billa_Billa
4,7/6/20 2:15,NA,11.5,1.9,0.53,92,0,0,Billa_Billa
4,7/6/20 2:30,NA,12.1,1.9,0.53,92,0,0,Billa_Billa
4,7/6/20 2:45,NA,13.5,2.6,0.72,90,0,0,Billa_Billa
4,7/6/20 3:00,NA,13.5,1.3,0.36,89,0,0,Billa_Billa
4,7/6/20 3:15,NA,13.1,1.1,0.31,84,0,0,Billa_Billa
4,7/6/20 3:30,NA,13.3,3.5,0.97,72,0,0,Billa_Billa
4,7/6/20 3:45,NA,13.4,7.7,2.14,53,0,0,Billa_Billa
4,7/6/20 4:00,NA,12.4,4.7,1.31,28,0,0,Billa_Billa
4,7/6/20 4:15,NA,13.3,4.8,1.33,33,0,0,Billa_Billa
4,7/6/20 4:30,NA,12.9,5,1.39,82,0,0,Billa_Billa
4,7/6/20 4:45,NA,10.9,3.7,1.03,213,0,0,Billa_Billa
4,7/6/20 5:00,NA,11.1,4.4,1.22,211,0,0,Billa_Billa
4,7/6/20 5:15,NA,11.9,3.2,0.89,70,0,0,Billa_Billa
4,7/6/20 5:30,NA,11.4,1.2,0.33,65,0,0,Billa_Billa
4,7/6/20 5:45,NA,11.4,0.3,0.08,65,0,0,Billa_Billa
4,7/6/20 6:00,NA,11.3,0.5,0.14,65,0,0,Billa_Billa
4,7/6/20 6:15,NA,11.1,1.3,0.36,64,0,0,Billa_Billa
4,7/6/20 6:30,NA,11.9,4.2,1.17,65,0,0,Billa_Billa
4,7/6/20 6:45,NA,12,6.8,1.89,66,0,0,Billa_Billa
4,7/6/20 7:00,NA,12,10.7,2.97,63,0,0,Billa_Billa
4,7/6/20 7:15,NA,12.6,12.6,3.50,56,0,0,Billa_Billa
4,7/6/20 7:30,NA,13.1,13.2,3.67,51,0,0,Billa_Billa
4,7/6/20 7:45,NA,13.5,12.8,3.56,50,0,0,Billa_Billa
4,7/6/20 8:00,NA,14.1,14.5,4.03,57,0,0,Billa_Billa
4,7/6/20 8:15,NA,14.3,11.6,3.22,326,0,0,Billa_Billa
4,7/6/20 8:30,NA,14.7,3.6,1.00,5,0,0,Billa_Billa
4,7/6/20 8:45,NA,14.9,5.1,1.42,11,0,0,Billa_Billa
4,7/6/20 9:00,NA,15.1,4.8,1.33,40,0,0,Billa_Billa
4,7/6/20 9:15,NA,15.5,1.4,0.39,40,0,0,Billa_Billa
4,7/6/20 9:30,NA,16,3.8,1.06,334,0,0,Billa_Billa
4,7/6/20 9:45,NA,16.7,8.7,2.42,35,0,0,Billa_Billa
4,7/6/20 10:00,NA,16.9,10.8,3.00,39,0,0,Billa_Billa
4,7/6/20 10:15,NA,17.4,10.8,3.00,33,0,0,Billa_Billa
4,7/6/20 10:30,NA,17.7,11.1,3.08,26,0,0,Billa_Billa
4,7/6/20 10:45,NA,17.9,11,3.06,27,0,0,Billa_Billa
4,7/6/20 11:00,NA,18.3,11.3,3.14,31,0,0,Billa_Billa
4,7/6/20 11:15,NA,18.8,8.2,2.28,32,0,0,Billa_Billa
4,7/6/20 11:30,NA,19.4,6.6,1.83,37,0,0,Billa_Billa
4,7/6/20 11:45,NA,19.7,5.6,1.56,34,0,0,Billa_Billa
4,7/6/20 12:00,NA,19.6,4.8,1.33,355,0,0,Billa_Billa
4,7/6/20 12:15,NA,19.8,4.1,1.14,358,0,0,Billa_Billa
4,7/6/20 12:30,NA,19.7,4.1,1.14,346,0,0,Billa_Billa
4,7/6/20 12:45,NA,19.7,5.2,1.44,27,0,0,Billa_Billa
4,7/6/20 13:00,NA,20.2,6.9,1.92,61,0,0,Billa_Billa
4,7/6/20 13:15,NA,20.6,6.1,1.69,54,0,0,Billa_Billa
4,7/6/20 13:30,NA,20.1,2.9,0.81,23,0,0,Billa_Billa
4,7/6/20 13:45,NA,20,6.3,1.75,19,0,0,Billa_Billa
